,GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.9_quant
ENSRNOG00000037673,125.749663,110.828618,160.833461,166.583977,132.494597,153.177481,181.519723,144.139287,204.321104,139.971387,182.670966,124.619311,133.504123,166.67719,139.939941,121.442703,374.736926,397.891233,215.676719,130.160156,149.066197,159.169616,238.625438,147.531078
ENSRNOG00000037680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037687,0.041085,0.042622,0,0.031811,0,0,0,0,0,0,0,0,0.059905,0,0,0,0.025634,0,0,0.225093,0,0,0.063009,0
ENSRNOG00000037688,0.111273,0.082525,0,0.036925,0.026577,0.105461,0,0.04133,0.104787,0,0.129314,0.040164,0.011537,0.073605,0.055152,0.060124,0.048749,0.080851,0,0.189227,0,0.054697,0.0121,0.093072
ENSRNOG00000037690,4.84369,3.218201,4.116935,2.193648,4.70068,5.433001,2.398916,3.00544,3.811288,6.296954,3.472909,4.889511,3.899177,3.051728,5.312366,3.870564,4.252116,3.767249,3.171819,3.153537,5.225799,3.241277,3.983381,2.375273
ENSRNOG00000037695,0.027013,0,0.067263,0,0,0.0398,0,0.280876,0.059501,0.12094,0.082527,0.045452,0.078579,0.062684,0.16402,0.076576,0.066773,0.069249,0.144961,0.197641,0,0.055856,0.041258,0.203423
ENSRNOG00000037698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037707,0.235284,0.121974,0.342601,0.045545,0.293752,0.173009,0,0.203745,0.391411,0.262418,0.300761,0.4933,0.215092,0.467128,0,0.110943,0.074304,0.462989,0.357634,0,0,0.366485,0,0.492656
ENSRNOG00000037709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.078496,0,0,0,0,0,0.536936
