ID,700052000,700052001,700052002,700052003,700052004,700052005,700052006,700052007,700052008,700052009,700052070,700052071,700052072,700052073,700052074,700052075,700052076,700052077,700052078,700052079
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),"462,172,160","593,629,632","535,953,504","509,199,328","452,100,032","421,564,736","463,610,624","502,106,304","484,641,664","477,746,752","424,812,800","634,734,464","339,668,672","488,152,256","508,719,168","499,131,040","546,752,896","524,311,840","540,033,216","478,323,264"
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,"3,288,358","4,397,549","3,397,248","4,864,614","2,386,346","2,754,173","4,129,019","2,997,486","4,575,304","3,457,271","3,299,592","2,875,321","1,076,328","2,946,705","3,271,564","3,546,465","2,557,778","3,636,144","2,089,303","3,530,826"
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,"1,642,359","2,454,184","1,663,535","2,337,553","1,962,086","1,745,232","2,112,582","1,679,665","3,044,454","1,821,473","1,931,459","2,216,148","1,054,101","1,632,250","1,926,770","1,432,959","2,072,175","2,211,141","1,135,179","1,141,679"
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,"79,794,736","106,948,592","62,783,460","84,657,336","89,457,440","71,211,952","71,095,592","66,908,824","116,439,272","83,164,536","103,808,688","83,087,392","39,498,896","68,115,520","65,032,720","82,561,696","66,013,792","85,433,360","66,642,092","65,965,208"
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),"305,870,944","422,609,888","333,988,576","306,965,024","272,659,776","239,389,504","319,827,680","317,354,752","256,462,768","306,317,760","310,765,120","501,218,176","252,377,296","294,049,760","316,103,296","358,608,640","316,362,880","330,878,656","332,635,936","338,735,552"
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,"1,880,374","3,445,812","1,900,689","2,207,679","817,091","706,440","2,380,654","1,147,870","1,126,270","1,361,843","1,380,308","2,967,075",,"1,325,618","1,437,977","2,110,850","721,487","1,332,391","801,474","1,871,238"
1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,"4,822,603","7,197,713","5,934,021","9,428,675","6,722,432","6,982,193","5,983,319","8,697,993","9,337,854","8,393,337","6,564,566","6,976,187","3,178,710","6,177,946","6,861,788","6,795,794","8,238,361","9,177,274","7,759,833","6,277,447"
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),"608,169,664","691,857,600","533,001,344","608,333,696","609,760,512","626,831,744","645,877,376","539,846,144","755,420,032","565,193,856","505,318,464","670,738,816","450,614,688","591,289,344","686,522,688","586,702,528","601,591,168","618,959,104","562,396,736","594,208,896"
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),"933,222","907,452","537,492","1,268,822","630,416","918,038","1,508,688","610,884","1,608,376","703,115","662,013","452,357","557,583","919,685","909,485","859,074","391,329","785,775","415,886","1,202,819"
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),"719,035","820,428","559,352","846,461","873,228","881,531","863,853","898,231","1,125,383","879,099","784,143","670,666","420,497","750,880","1,149,152","477,726","884,665","753,500","581,176","676,384"
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),"313,203,264","433,859,488","314,389,376","410,061,664","370,681,600","352,459,680","352,443,648","303,819,680","421,345,248","350,815,488","370,231,872","347,964,000","202,093,040","281,548,608","335,368,128","325,507,520","309,840,864","389,093,472","308,370,464","336,754,560"
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),"1,292,509","1,669,064","1,220,087","1,776,131","1,005,815","1,244,190","975,937","1,127,935","1,652,843","1,188,747","1,065,386","726,835","205,381","913,974","1,005,388","1,257,870","732,050","1,092,253","717,364","1,204,900"
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,"201,395","304,739","163,572","280,992","238,402","302,431","213,670","247,422","363,361","291,971","263,020",,"105,437","194,801","323,128","150,162","210,576","219,968","169,896","186,519"
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,"31,738,910","43,042,420","21,432,060","40,666,944","33,531,466","26,866,330","21,262,152","20,586,224","36,750,344","30,003,806","32,443,528","31,001,072","12,348,048","20,246,196","23,571,146","34,870,892","24,181,040","36,763,056","20,775,336","27,242,352"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),"49,283,768","67,425,856","58,132,848","43,939,020","43,077,572","48,669,792","49,401,084","53,437,792","48,352,128","54,352,632","42,196,500","82,399,128","39,829,368","37,238,744","57,312,452","40,345,568","52,335,912","46,449,272","48,407,244","48,328,696"
